customer_id,age,workclass,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,Response
8469,66,Local-gov,Some-college,10,Widowed,Adm-clerical,Not-in-family,Female,0,0,20,No
13923,72,Private,Bachelors,13,Divorced,Sales,Unmarried,Female,0,0,28,No
10914,40,Private,10th,6,Separated,Transport-moving,Unmarried,Female,0,0,70,No
851,26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,No
14376,30,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,47,Yes
3835,65,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,Male,10605,0,44,Yes
4924,31,Private,Some-college,10,Never-married,Sales,Not-in-family,Male,0,1504,40,No
1457,35,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Female,0,0,38,Yes
3764,43,Local-gov,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,Yes
12697,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
1944,44,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Female,0,0,52,No
2462,57,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,1876,38,No
16158,38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,Yes
2264,52,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,No
13714,30,Private,Bachelors,13,Never-married,Sales,Not-in-family,Female,0,0,35,Yes
9086,56,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Male,0,0,40,No
12376,18,Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Male,2176,0,25,No
10819,49,Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,30,No
14083,48,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Yes
72,46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,No
6580,45,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,Male,15024,0,72,Yes
13404,31,Private,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,34,No
9662,46,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Male,0,1902,40,Yes
996,17,Private,11th,7,Never-married,Sales,Not-in-family,Female,0,0,20,No
11392,19,Private,11th,7,Never-married,Tech-support,Own-child,Male,0,0,40,No
11870,35,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,30,No
11863,43,Self-emp-inc,Bachelors,13,Married-spouse-absent,Sales,Unmarried,Female,0,0,42,No
6478,38,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,99999,0,55,Yes
11433,23,Private,Some-college,10,Never-married,Other-service,Unmarried,Female,0,0,36,No
3546,37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,15024,0,50,Yes
13585,29,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,8614,0,40,Yes
13446,64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,Yes
901,50,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,1902,44,Yes
4069,42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,45,No
13300,24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,37,No
10898,38,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,Male,0,0,60,No
15793,54,Local-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,Yes
12210,66,State-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,Yes
12111,22,Private,Some-college,10,Never-married,Sales,Own-child,Female,0,0,40,No
15002,54,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,67,No
7643,55,Private,HS-grad,9,Married-spouse-absent,Craft-repair,Other-relative,Male,0,0,40,No
14550,22,Private,HS-grad,9,Never-married,Exec-managerial,Unmarried,Male,0,0,40,No
1007,33,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,Male,0,0,46,No
11884,44,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,No
8263,24,Private,12th,8,Never-married,Other-service,Other-relative,Male,0,0,40,No
6633,30,Self-emp-inc,Some-college,10,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,Yes
587,36,Private,11th,7,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,No
1914,20,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,No
1,25,Private,11th,7,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,No
9550,55,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,Female,0,0,20,No
1717,55,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,Male,15024,0,60,Yes
15064,35,Self-emp-not-inc,Some-college,10,Married-spouse-absent,Craft-repair,Not-in-family,Male,0,0,40,No
1683,26,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Male,0,0,40,No
10493,21,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,18,No
6465,45,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Female,0,1408,40,No
15152,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,1977,60,Yes
7699,42,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,0,24,No
9860,51,State-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Male,0,0,60,Yes
16176,55,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,1902,40,Yes
6059,38,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,Yes
5720,50,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,Yes
7797,39,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,Yes
11655,38,Private,Some-college,10,Separated,Machine-op-inspct,Unmarried,Male,0,0,50,No
8146,66,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,16,No
15630,42,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,Yes
621,38,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,38,No
15836,49,Private,10th,6,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,No
15341,24,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,0,35,No
2502,44,Self-emp-inc,Masters,14,Divorced,Prof-specialty,Not-in-family,Male,0,0,40,No
1328,47,Private,11th,7,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,No
3650,36,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,1902,40,Yes
